title,name
Risk prediction models and recalibration,Luke Kelly
Modelling Reaction Times of Elite Sprinters,Luke Kelly
Markov Chain Monte Carlo algorithms and Bayesian Statistics,Luke Kelly
Studies on factors affecting HbA1c results for Type 1 Diabetics,Jian Huang
METHODS OF CLUSTERING,Rabia Naqvi
Assessing the Performance of Performance Indicators in Professional Football,Michael Cronin
Analysis of Factors that Impact Test-Score Performance of Students,Jian Huang
A Statistical Analysis of Celtic Language Preservation,Benjamin Taylor
Bayesian inference in hierarchical models,Luke Kelly
Stable Marriage Problem - GPU Approach,Sabin Tabirca
Building Tools for Public Education about Just and Fair AI,Krishnendu Guha
Does quality matter? Examining the impact of media quality on peoples' susceptibility to deepfake misinformation,Rosane Minghim
Design for Environmental Safety,Laura Maye
Sustainability of Consumer Electronics Devices,Dirk Pesch
Clippy 2.0: Modern Generative AI Assistants,Klaas-Jan Stol
Problematic Smartphone Use (PSU),Vijayakumar Nanjappan
Web-based Annotator for Medieval Irish Text,Enkhbold Nyamsuren
Quantum Algorithm Partitioning and Scheduling,Krishnendu Guha
Differential location privacy,Paolo Palmieri
Micro authentication schemes for ultra-low power devices,Paolo Palmieri
Homomorphic Encryption for Reconfigurable Hardware (FPGA) Platforms,Krishnendu Guha
AI-Driven Remote Sensing and AR for Forest Conservation,Md Noor-A-Rahim
Quantum AI algorithm development,Krishnendu Guha
Hardware Acceleration and Implementation of Advanced Cryptography Algorithms,Krishnendu Guha
Allergy Management with Mobile App,Dirk Pesch
Solar Output Forecast,Utz Roedig
Sound-Based Activity Recognition,Utz Roedig
Interactive Platform for Introducing Rust to Python Programmers,Kieran Herley
Implementation of Python Agrep Package,Kieran Herley
Development and testing of a real world cooperative perception system,Aisling O'Driscoll
Simulation of Redundancy Strategies for a Cooperative Perception Service,Aisling O'Driscoll
A distributed smartphone-based solution for managing an active shooter emergency,Cormac Sreenan
Timeline Generation,Rosane Minghim
Comparing Methods for Multi-Objective Optimisation,Steven Prestwich
LLM Fairness Assessment,Andrea Visentin
PCA-Based Explainable AI for Spectroscopy Signals,Andrea Visentin
Evaluating the performance of collaborative throughput prediction in 5G networks,Cormac Sreenan
Performance Analysis of Sustainable Platooning on Irish Motorways,Md Noor-A-Rahim
Augmented Reality Integration For Intelligent Drone Operations,Aisling O'Driscoll
Assessing Player Experience in Serious Games,Vijayakumar Nanjappan
Serious Games for Cognitive Rehabilitation,Vijayakumar Nanjappan
Final Year Project 3,Barry O'Sullivan
Final Year Project 2,Barry O'Sullivan
Final Year Project 1,Barry O'Sullivan
Algorithm Analysis Tool,Kieran Herley
Demonstration of Web Based Cyper Attacks,Frank Boehme
Measuring Building WiFi activity,Cormac Sreenan
Adaptive Learning App: Leveraging AI for Personalised Learning Based on Individual Styles,Sabin Tabirca
Indoor Sound Classification,Utz Roedig
Collaborative Web Platform for Audio Professionals,Adrian O'Riordan
Pre-ECU motorcycle modernisation and accident warning system,John Morrison
Acamedic: Enhancing Medical Education with Interactive Learning,Harry Nguyen
AI Trainer,Ahmed Zahran
Predictive Models for Football Match Outcomes,Adrian O'Riordan
Multi-Agent Pathfinding for Autonomous Marine Vessels,Ken Brown
Simulating Cyber Attacks and Real-Time Detection in a Virtualized Windows Environment,Paolo Palmieri
Dynamic Programming II,Michel Schellekens
Football analyser,Ahmed Zahran
IoT Testbed for Split AI Computing,Krishnendu Guha
AI-driven House Maintenance,Ahmed Zahran
Speech Therapy Portal Development,Andrea Visentin
Fantasy Football and ML - GR02 Student Specified Project,Gavin Russell
GoalVision,Aisling O'Driscoll
Multi-drone path-finding in 3D space,Ken Brown
WattsWatch: A Low Power Solution to Energy Theft,Krishnendu Guha
Digital Hardware Design for AI based Applications (recognizing Irish Sign Language finger spelling),Krishnendu Guha
Mental Health Education and Explainable Artificial Intelligence,Harry Nguyen
Language-Specific Neurons in Multilingual Large Language Models,Harry Nguyen
Screening Deafness Using Multimodal AI,Harry Nguyen
Carbon Trading Simulator Game,Harry Nguyen
Text-to-SQL with a Focus on the Irish Language,Harry Nguyen
Freehand Drawing Tool with Reinforcement Learning for Classroom Teaching,Frank Boehme
A Distributed IoT testbed of Edge Clusters to perform Split Federated Learning,Krishnendu Guha
Design and implementation of an Internet of Things testbed,Dirk Pesch
SQL Learning Environment,Kieran Herley
Code Plagiarism Detection and Generative AI,Kieran Herley
Virtual Reality Games for Cognitive Rehabilitation,Vijayakumar Nanjappan
Code Animation and Visualisation for Linked Structures,Kieran Herley
Using LLMs to Generate Reward Functions from Natural Language in RL Environments,Gregory Provan
